id,ts,iso_ts,event,actor,ip,payload
218,1782334801742,2026-06-24T21:00:01.742Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
219,1782335101745,2026-06-24T21:05:01.745Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
220,1782335402718,2026-06-24T21:10:02.718Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
221,1782335703355,2026-06-24T21:15:03.355Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
222,1782336002077,2026-06-24T21:20:02.077Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
223,1782336301426,2026-06-24T21:25:01.426Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
224,1782336602817,2026-06-24T21:30:02.817Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
225,1782336900920,2026-06-24T21:35:00.920Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
226,1782336906019,2026-06-24T21:35:06.019Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":82},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":false,""ms"":5009}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
227,1782337202659,2026-06-24T21:40:02.659Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
228,1782337502131,2026-06-24T21:45:02.131Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
229,1782337801093,2026-06-24T21:50:01.093Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
230,1782337801543,2026-06-24T21:50:01.543Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":63},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":true,""ms"":379}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
231,1782338101651,2026-06-24T21:55:01.651Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
232,1782338401673,2026-06-24T22:00:01.673Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
233,1782338701705,2026-06-24T22:05:01.705Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
234,1782339003114,2026-06-24T22:10:03.114Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
235,1782339305994,2026-06-24T22:15:05.994Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
236,1782339602817,2026-06-24T22:20:02.817Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
237,1782339901915,2026-06-24T22:25:01.915Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
238,1782340201463,2026-06-24T22:30:01.463Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
239,1782340501453,2026-06-24T22:35:01.453Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
240,1782340801341,2026-06-24T22:40:01.341Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
241,1782341101365,2026-06-24T22:45:01.365Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
242,1782341401257,2026-06-24T22:50:01.257Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
243,1782341702107,2026-06-24T22:55:02.107Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
244,1782342001218,2026-06-24T23:00:01.218Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
245,1782342301193,2026-06-24T23:05:01.193Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
246,1782342306272,2026-06-24T23:05:06.272Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":61},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":false,""ms"":5011}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
247,1782342601177,2026-06-24T23:10:01.177Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
248,1782342601658,2026-06-24T23:10:01.658Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":102},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":true,""ms"":368}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
249,1782342901763,2026-06-24T23:15:01.763Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
250,1782343201791,2026-06-24T23:20:01.791Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
251,1782358802513,2026-06-25T03:40:02.513Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
252,1782359101617,2026-06-25T03:45:01.617Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
253,1782359400831,2026-06-25T03:50:00.831Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
254,1782359401610,2026-06-25T03:50:01.610Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":78},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":true,""ms"":689}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
255,1782359701117,2026-06-25T03:55:01.117Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
256,1782359701552,2026-06-25T03:55:01.552Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":64},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":true,""ms"":363}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
257,1782360001478,2026-06-25T04:00:01.478Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
258,1782360300790,2026-06-25T04:05:00.790Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
259,1782360305877,2026-06-25T04:05:05.877Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":65},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":false,""ms"":5012}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
260,1782360601250,2026-06-25T04:10:01.250Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
261,1782360901651,2026-06-25T04:15:01.651Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
262,1782361200989,2026-06-25T04:20:00.989Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
263,1782361201435,2026-06-25T04:20:01.435Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":70},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":true,""ms"":366}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
264,1782361501384,2026-06-25T04:25:01.384Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
265,1782361801592,2026-06-25T04:30:01.592Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
266,1782362401360,2026-06-25T04:40:01.360Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
267,1782362701677,2026-06-25T04:45:01.677Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
268,1782363001028,2026-06-25T04:50:01.028Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
269,1782363001526,2026-06-25T04:50:01.526Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":100},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":true,""ms"":381}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
270,1782363301133,2026-06-25T04:55:01.133Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
271,1782363301579,2026-06-25T04:55:01.579Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":75},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":true,""ms"":364}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
272,1782363601238,2026-06-25T05:00:01.238Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
273,1782363901321,2026-06-25T05:05:01.321Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
274,1782364201460,2026-06-25T05:10:01.460Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
275,1782364500929,2026-06-25T05:15:00.929Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
276,1782364501380,2026-06-25T05:15:01.380Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":71},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":true,""ms"":373}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
277,1782364800948,2026-06-25T05:20:00.948Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
278,1782364801386,2026-06-25T05:20:01.386Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":65},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":true,""ms"":363}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
279,1782365101121,2026-06-25T05:25:01.121Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
280,1782365106208,2026-06-25T05:25:06.208Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":68},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":false,""ms"":5010}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
281,1782365401520,2026-06-25T05:30:01.520Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
282,1782365701684,2026-06-25T05:35:01.684Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
283,1782366001709,2026-06-25T05:40:01.709Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
284,1782366301062,2026-06-25T05:45:01.062Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
285,1782366301509,2026-06-25T05:45:01.509Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":70},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":true,""ms"":369}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
286,1782366601307,2026-06-25T05:50:01.307Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
287,1782366901501,2026-06-25T05:55:01.501Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
288,1782367201716,2026-06-25T06:00:01.716Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
289,1782367501048,2026-06-25T06:05:01.048Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
290,1782367506127,2026-06-25T06:05:06.127Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":67},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":false,""ms"":5001}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
291,1782367800945,2026-06-25T06:10:00.945Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
292,1782367806024,2026-06-25T06:10:06.024Z,internet.check,system ,,"{""ok"":true,""results"":[{""host"":""1.1.1.1"",""ok"":true,""ms"":69},{""host"":""http://connectivity-check.ubuntu.com"",""ok"":false,""ms"":5001}],""outage_type"":null,""gateway_ok"":null,""gateway"":null,""outage_mode"":false,""interval_seconds"":null,""attempt_count"":null,""vpn_up"":false,""vpn_ok"":null,""vpn_results"":[]}"
293,1782368101471,2026-06-25T06:15:01.471Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
294,1782368401455,2026-06-25T06:20:01.455Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
295,1782368701337,2026-06-25T06:25:01.337Z,service.check,system ,,"{""up"":6,""down"":2,""total"":8}"
